testId,status,startedAt,finishedAt,concurrency,initialStock,backoffMillis,maxRetriesPerSuccess,targetSuccessCount
"0f85dcdf-1520-487c-a14a-7a4f26af47f5",COMPLETED,2026-03-01T10:20:20.677723200Z,2026-03-01T10:22:10.949139800Z,10,20000,5,500,20000

phase,successCount,durationMs,totalRequests,totalRetries,avgAttemptsPerSuccess,avgRequestLatencyMs,avgSuccessLatencyMs,maxAttempts,throughputPerSec,successRate,retriesPerRequest,totalBackoffMs,p50_req_ms,p90_req_ms,p95_req_ms,p99_req_ms,p50_succ_ms,p90_succ_ms,p95_succ_ms,p99_succ_ms
"optimistic",20000,68077,20009,39466,2.950,33.428,33.087,284,293.785,1.000,1.972,197330,2.000,6.000,33.000,957.000,2.000,6.000,17.000,924.000
"pessimistic",20000,42183,20009,0,1.000,20.726,20.699,1,474.125,1.000,0.000,0,6.000,26.000,131.000,281.000,6.000,26.000,136.000,286.000
