testId,status,startedAt,finishedAt,concurrency,initialStock,backoffMillis,maxRetriesPerSuccess,targetSuccessCount
"429e6db6-b27e-4de1-b221-7b5a15ea27dc",COMPLETED,2026-03-01T10:16:54.912334300Z,2026-03-01T10:18:30.217564200Z,5,20000,5,500,20000

phase,successCount,durationMs,totalRequests,totalRetries,avgAttemptsPerSuccess,avgRequestLatencyMs,avgSuccessLatencyMs,maxAttempts,throughputPerSec,successRate,retriesPerRequest,totalBackoffMs,p50_req_ms,p90_req_ms,p95_req_ms,p99_req_ms,p50_succ_ms,p90_succ_ms,p95_succ_ms,p99_succ_ms
"optimistic",20000,53540,20004,24668,2.232,12.747,12.741,108,373.552,1.000,1.233,123340,2.000,11.000,69.000,244.000,2.000,12.000,69.000,244.000
"pessimistic",20000,41752,20004,0,1.000,10.105,10.104,1,479.019,1.000,0.000,0,6.000,18.000,33.000,72.000,6.000,18.000,32.000,68.000
