testId,status,startedAt,finishedAt,concurrency,initialStock,backoffMillis,maxRetriesPerSuccess,targetSuccessCount
"c1744ab7-c158-4a91-b7fa-aaf7afb16d9f",COMPLETED,2026-03-01T10:44:48.112485Z,2026-03-01T10:48:36.365418500Z,100,20000,5,500,20000

phase,successCount,durationMs,totalRequests,totalRetries,avgAttemptsPerSuccess,avgRequestLatencyMs,avgSuccessLatencyMs,maxAttempts,throughputPerSec,successRate,retriesPerRequest,totalBackoffMs,p50_req_ms,p90_req_ms,p95_req_ms,p99_req_ms,p50_succ_ms,p90_succ_ms,p95_succ_ms,p99_succ_ms
"optimistic",20000,178095,20099,221179,11.942,885.361,880.411,141,112.300,0.995,11.004,1105895,538.000,2176.000,2921.000,4728.000,533.000,2168.000,2886.000,4677.000
"pessimistic",20000,50144,20099,0,1.000,248.598,248.201,1,398.851,0.995,0.000,0,170.000,573.000,754.000,1194.000,168.000,567.000,756.000,1206.000
